DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
Educator,Australia,,1,,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,npm;Pip;Yarn,Cloudflare,
"Developer, full-stack",United States of America,,6,,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),NuGet;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, mobile",United States of America,,1,,Bash/Shell (all shells);Dart;Python;Swift,,Amazon Web Services (AWS);Firebase,Flutter;SwiftUI
Data or business analyst,United Kingdom of Great Britain and Northern Ireland,,17,,HTML/CSS;SQL;VBA,,,
"Developer, full-stack",United States of America,,18,,Go;Java;JavaScript;Kotlin;PHP;Python;SQL,Docker,Amazon Web Services (AWS),Spring Framework
"Developer, full-stack",United States of America,,6,,C#;HTML/CSS;JavaScript;SQL;TypeScript,NuGet,,.NET (5+) 
"Developer, full-stack",Croatia,,13,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Docker;Make;npm;Pacman;Pip;pnpm;Vite,Heroku;Netlify;Supabase;Vercel,Electron;GTK;Ionic
"Developer, full-stack",Turkey,,3,,C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Gradle;npm;Unity 3D;Webpack;Yarn,Amazon Web Services (AWS);Microsoft Azure,.NET Framework (1.0 - 4.8);Electron;React Native
"Developer, front-end",Finland,,22,,,,,
"Developer, full-stack",United States of America,,4,,C#;HTML/CSS;Python;SQL,,,.NET (5+) 
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,,4,,Python;TypeScript,Docker;Homebrew;Make;npm;Pip;Terraform;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,
"Developer, game or graphics",United Kingdom of Great Britain and Northern Ireland,,11,,C;C++;JavaScript;Lua;Python;Rust;SQL;TypeScript,Docker;Make;Ninja;npm,,NumPy;OpenCL;OpenGL;Pandas;Scikit-Learn
"Developer, full-stack",Portugal,,10,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Docker;Kubernetes;Maven (build tool);npm;Pip;Unity 3D;Vite;Webpack,Amazon Web Services (AWS);Google Cloud;Managed Hosting,Ionic;RabbitMQ;React Native
"Developer, full-stack",Netherlands,,31,,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Composer,,
"Developer, full-stack",United States of America,,4,,C#;HTML/CSS;JavaScript;SQL,npm;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI
"Developer, full-stack",Sri Lanka,,5,,HTML/CSS;JavaScript;SQL;TypeScript,Composer;npm;Pip;Yarn,Amazon Web Services (AWS);Managed Hosting,Apache Kafka
"Developer, back-end",United States of America,,3,,C;C#;C++;HTML/CSS;JavaScript;TypeScript,Docker;MSBuild;npm;pnpm;Podman,Microsoft Azure,.NET (5+) ;DirectX
DevOps specialist,Netherlands,,Less than 1 year,,Go;Rust;Zig,Ansible;Docker;Homebrew;Kubernetes,OpenShift,
"Developer, full-stack",Latvia,,5,,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,npm;NuGet,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Sri Lanka,,6,,Lua;Python;TypeScript,Bun;Docker;npm;Pip;pnpm;Podman;Vite;Webpack,Amazon Web Services (AWS),
"Developer, full-stack",Portugal,,19,,Java;TypeScript,Docker;Maven (build tool);npm,,RabbitMQ;Spring Framework
"Developer, full-stack",India,,9,,Java,Maven (build tool),Google Cloud,
"Developer, full-stack",United States of America,,16,,C#;HTML/CSS;JavaScript;SQL;TypeScript,MSBuild;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,2,,C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Chocolatey;Docker;Godot;npm;NuGet;Pip,Microsoft Azure;VMware,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;OpenGL;React Native;Roslyn;Torch/PyTorch
Student,China,,,,HTML/CSS;JavaScript;Kotlin;Lua;MATLAB;PowerShell;Python;SQL;TypeScript,APT;Docker;npm;Pip;pnpm;Vite;Webpack;Yarn,Alibaba Cloud;Vultr,Cordova;Electron;NumPy;Opencv;Qt;React Native
"Developer, front-end",Singapore,,8,,Assembly;C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL,Chocolatey;Docker;npm;Visual Studio Solution,Amazon Web Services (AWS);Firebase;Google Cloud;Netlify,.NET (5+) ;Ionic;RabbitMQ;React Native
"Developer, QA or test",China,,21,,Python,,,
Student,Lebanon,,2,,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bun;Chocolatey;Dagger;Gradle;Homebrew;npm;pnpm;Vite;Webpack,,Ktor
Security professional,United States of America,,15,,Bash/Shell (all shells);C#;Go;PowerShell;Python;SQL,Ansible;Chocolatey;Docker;Homebrew;Kubernetes;Podman;Terraform,Amazon Web Services (AWS);Colocation;Digital Ocean;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Romania,,2,,HTML/CSS;JavaScript;PHP;TypeScript,Composer;Docker;Kubernetes;npm;Vite,Google Cloud;OVH,
"Developer, back-end",Philippines,,Less than 1 year,,HTML/CSS;JavaScript,,Google Cloud,
Student,United Kingdom of Great Britain and Northern Ireland,,,,Assembly;Bash/Shell (all shells);C;Dart;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Prolog;Python;SQL;TypeScript,Docker;Gradle;Make;Maven (build tool);npm;Pip;Webpack,Heroku,Flutter;GTK;NumPy
"Developer, full-stack",United States of America,,2,,C#;Go;Groovy;HTML/CSS;Java;JavaScript;SQL,Ansible;Kubernetes;Maven (build tool);npm;NuGet;Webpack,Amazon Web Services (AWS);Microsoft Azure,.NET Framework (1.0 - 4.8);Spring Framework
"Developer, full-stack",United States of America,,15,,C#;JavaScript;SQL;TypeScript,NuGet;Visual Studio Solution,,.NET (5+) 
Research & Development role,Spain,,2,,Assembly;C;C++;PowerShell;Python;SQL,Docker;Google Test;Unreal Engine;Visual Studio Solution,Amazon Web Services (AWS),NumPy;OpenGL;Pandas
Other (please specify):,Germany,,31,,Bash/Shell (all shells);C#;Clojure;Lisp;Lua;Prolog;Python,,,.NET (5+) 
Other (please specify):,United Kingdom of Great Britain and Northern Ireland,,Less than 1 year,,Assembly;Bash/Shell (all shells);C;Go;Haskell;OCaml;Python;Rust;SQL;TypeScript,APT;Bun;Docker;Homebrew;npm;Pacman;Pip;Podman;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;OVH;Vercel,NumPy
"Developer, full-stack",Portugal,,6,,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Prolog;Python;R;SQL;TypeScript,Docker;Homebrew;npm;Pip;Terraform,Amazon Web Services (AWS);Google Cloud,Apache Kafka;Keras;Pandas;TensorFlow
Other (please specify):,Poland,,,,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Docker;MSBuild;npm;NuGet;Visual Studio Solution,Cloudflare;Digital Ocean;Managed Hosting;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Vercel,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",United States of America,,8,,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),Chocolatey;Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ
"Developer, full-stack",Canada,,4,,Bash/Shell (all shells);C;Clojure;Dart;Lua,Docker;Homebrew;Kubernetes;Maven (build tool),Supabase,Flutter
"Developer, full-stack",Hungary,,17,,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,APT;Docker;Gradle;Kubernetes;Maven (build tool);npm;Pacman;Pip;Unreal Engine,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Apache Kafka;Apache Spark;NumPy;OpenGL;Pandas;Spring Framework;Torch/PyTorch
"Developer, full-stack",France,,19,,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Ansible;Composer;npm;Yarn,,
Data or business analyst,Russian Federation,,1,,JavaScript;Python;SQL,Docker;Pip,,Apache Spark;Hadoop;NumPy;Pandas
DevOps specialist,United States of America,,4,,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Docker;Google Test;MSBuild;Ninja;npm;NuGet;Pacman;Pip;Visual Studio Solution;Yarn,Digital Ocean;Netlify,.NET (5+) ;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn
Engineering manager,Canada,,8,,Go;HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm;Terraform;Unity 3D;Vite,Amazon Web Services (AWS);Netlify;Vercel,Capacitor;RabbitMQ
"Developer, full-stack",Czech Republic,,18,,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Ansible;Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Cordova;Electron;RabbitMQ;React Native;Roslyn;Xamarin
"Developer, back-end",Canada,,30,,C#,Docker;NuGet,Microsoft Azure,.NET (5+) ;RabbitMQ
"Developer, back-end",Bulgaria,,15,,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL,Ant;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm,Amazon Web Services (AWS),
"Developer, full-stack",Bulgaria,,5,,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Docker;Maven (build tool);Unity 3D;Visual Studio Solution,,.NET Framework (1.0 - 4.8);OpenGL;Spring Framework
Engineering manager,Portugal,,,,Kotlin;Swift,Dagger;Gradle,Firebase;Heroku;Microsoft Azure,Ktor;SwiftUI
Research & Development role,United Kingdom of Great Britain and Northern Ireland,,3,,C;C++;Python,Google Test;Make,,OpenGL
Product manager,India,,11,,Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;pnpm;Webpack;Yarn,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Flutter;Quarkus;React Native;Spring Framework
Academic researcher,Germany,,15,,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;R;SQL,APT;Composer;Docker;Google Test;Make;Maven (build tool);MSBuild;npm;Visual Studio Solution,Hetzner,MFC
Research & Development role,Portugal,,14,,Assembly;Bash/Shell (all shells);C;C#;C++;Python;Rust,Docker;Kubernetes;Make;NuGet;Pip;Terraform,Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);GTK;Opencv;Roslyn
"Developer, full-stack",Switzerland,,14,,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;SQL,Docker;Gradle;Kubernetes;Maven (build tool);npm;Yarn,,Flutter;Spring Framework
"Senior Executive (C-Suite, VP, etc.)",India,,25,,HTML/CSS;Java;JavaScript;SQL,Ansible;Maven (build tool);npm;Webpack,Vultr,Apache Kafka;Apache Spark
"Developer, front-end",South Africa,,Less than 1 year,,Python,Make;npm,Render;Supabase,
"Developer, back-end",United States of America,,2,,C++;Java;JavaScript;Python;TypeScript;VBA,,,
Student,Germany,,3,,HTML/CSS;Java;JavaScript;PHP,Docker;Gradle;Make,,Spring Framework
Student,United States of America,,,,Assembly;Bash/Shell (all shells);C;Haskell;HTML/CSS;JavaScript;OCaml;Python;Rust;Scala;SQL;TypeScript,APT;Docker;Make;Nix;npm;Pip,,Pandas
"Developer, full-stack",United States of America,,12,,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),Ant;Chocolatey;Docker;Kubernetes;npm;NuGet;Vite;Webpack,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) 
Data scientist or machine learning specialist,Germany,,3,,R;SQL;VBA,,,
"Developer, full-stack",Lithuania,,15,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,Chocolatey;Composer;Docker;Make;npm;Vite,,
DevOps specialist,France,,2,,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Ansible;APT;npm;Pip;pnpm;Terraform;Vite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Vercel,Pandas
"Developer, full-stack",Netherlands,,4,,JavaScript;PHP;Python;Rust,Composer;Docker;Make;npm;Pacman;Podman;Vite;Webpack,Firebase;OVH,Ruff
Data or business analyst,United States of America,,9,,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net),Docker;npm;Pip,Amazon Web Services (AWS);Databricks;Microsoft Azure,Apache Kafka;Apache Spark
DevOps specialist,France,,10,,Bash/Shell (all shells);JavaScript;Python;Rust,Ansible;Docker;Kubernetes;Make;Terraform;Yarn,Hetzner;OVH,Apache Kafka
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,,23,,JavaScript;PHP;SQL,Composer;Docker;npm;Terraform;Visual Studio Solution;Yarn,Amazon Web Services (AWS);Heroku,
"Developer, AI",Viet Nam,,2,,C;C++;PowerShell;Python;SQL,Pip,Amazon Web Services (AWS),NumPy;Opencv;Torch/PyTorch
"Developer, full-stack",Ireland,,28,,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Chocolatey;MSBuild;NuGet,Cloudflare;Microsoft Azure;VMware,.NET (5+) 
Research & Development role,Dominican Republic,,10,,C#;Go;JavaScript;PowerShell;TypeScript,Kubernetes;npm,Digital Ocean,Flutter
"Developer, desktop or enterprise applications",United States of America,,5,,C#;C++;F#;JavaScript;PowerShell;SQL;TypeScript,Docker;npm;NuGet;Visual Studio Solution,Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, game or graphics",Indonesia,,,,HTML/CSS;JavaScript,,Firebase,
"Developer, back-end",Brazil,,8,,C#;HTML/CSS;JavaScript;SQL;TypeScript,APT;Chocolatey;Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution,Amazon Web Services (AWS);Microsoft Azure;Supabase,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Roslyn
"Developer, back-end",France,,20,,C#;F#,NuGet,,.NET (5+) ;.NET Framework (1.0 - 4.8)
Student,India,,,,C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net),npm;Pip;Vite;Yarn,,
"Developer, mobile",Germany,,17,,C;C++;Java;Kotlin;MATLAB;SQL,Dagger;Gradle;Homebrew;Pip,,Spring Framework
Engineering manager,Viet Nam,,12,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,Amazon Web Services (AWS);Cloudflare,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, full-stack",France,,10,,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Docker,OVH,
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,,5,,Bash/Shell (all shells);Java;SQL,Ant;Docker;Maven (build tool),,RabbitMQ;Spring Framework
Other (please specify):,United Kingdom of Great Britain and Northern Ireland,,,,Swift,,,
"Developer, full-stack",Germany,,9,,Bash/Shell (all shells);Go;HTML/CSS;Rust;TypeScript,Ansible;APT;Docker;Kubernetes;npm;Terraform;Vite,Amazon Web Services (AWS);Google Cloud;Hetzner,RabbitMQ
"Developer, full-stack",Germany,,12,,C#;HTML/CSS,MSBuild;NuGet;Visual Studio Solution,,.NET (5+) 
Other (please specify):,United States of America,,6,,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL,,Amazon Web Services (AWS),Spring Framework
"Developer, game or graphics",Ireland,,23,,Assembly;Bash/Shell (all shells);C;C#;C++;Lua;Python;Rust,Docker;Unreal Engine;Visual Studio Solution,,.NET (5+) ;OpenGL
"Developer, full-stack",United States of America,,15,,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud,
"Developer, AI",Serbia,,3,,Bash/Shell (all shells);C;C++;HTML/CSS;PowerShell;Python;SQL,Ansible;Docker,,Opencv;Qt
Scientist,India,,7,,Python;R,,,Pandas;Scikit-Learn;TensorFlow;Tidyverse
"Developer, mobile",Ukraine,,5,,C;C++;Groovy;Java;Julia;MATLAB;Python;SQL,Docker;Gradle;Homebrew;Make;Maven (build tool);npm,Digital Ocean;Firebase;Google Cloud;Heroku,Ktor
"Developer, full-stack",Bulgaria,,6,,Dart;JavaScript,,,
"Developer, full-stack",India,,7,,Bash/Shell (all shells);C;C++;Dart;Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,Docker;Make;Ninja;npm;Webpack,Firebase;Google Cloud,Cordova;Flutter;Ionic;React Native
"Developer, desktop or enterprise applications",Croatia,,31,,Delphi,MSBuild,Digital Ocean;Managed Hosting,
"Developer, back-end",Romania,,11,,C++;Java;Python,,Amazon Web Services (AWS),NumPy;Qt;Spring Framework
"Developer, full-stack",Poland,,14,,C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) 
"Developer, full-stack",Kosovo,,10,,HTML/CSS;JavaScript;Ruby;SQL,Docker,,
"Developer, mobile",Australia,,2,,C;C++;Dart;HTML/CSS;Java;PHP;Python;SQL,,Firebase,Flutter;Pandas
Designer,Romania,,18,,HTML/CSS;JavaScript;PHP,,,
"Developer, back-end",United States of America,,20,,JavaScript;PHP;SQL,Composer;npm;Webpack,VMware,
"Developer, full-stack",Morocco,,3,,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Composer;Maven (build tool);npm;Pip;Yarn,Firebase;Microsoft Azure;OVH,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",India,,8,,Java;JavaScript;SQL,Ant;Docker;Gradle;Kubernetes;Maven (build tool);npm;Terraform,Microsoft Azure,Apache Kafka;JAX;React Native;Spring Framework
"Developer, embedded applications or devices",France,,4,,C;C++;Python;Rust,Docker;Make;NuGet;Pip,,Qt
Research & Development role,Germany,,25,,C#;Ruby,Ansible;Docker;Gradle;NuGet,Amazon Web Services (AWS);Firebase;Google Cloud,.NET (5+) ;OpenGL
Student,Netherlands,,Less than 1 year,,Assembly;Bash/Shell (all shells);C;Java;MicroPython;PHP;Rust,Make;Pip,,
Student,Greece,,,,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Docker;Make;Maven (build tool);npm;pnpm;Webpack,Amazon Web Services (AWS);Google Cloud;Heroku,
"Developer, full-stack",United States of America,,19,,C#;Java;JavaScript;Python;SQL,Docker;Gradle;Maven (build tool);MSBuild;NuGet;Visual Studio Solution,Amazon Web Services (AWS),.NET (5+) ;.NET Framework (1.0 - 4.8)
Academic researcher,Taiwan,,2,,Bash/Shell (all shells);C++;Python,Make,,Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, mobile",United States of America,,20,,C++;Go;Java;JavaScript;Kotlin;Objective-C;Python;SQL;Swift,Gradle;Homebrew;npm;Unity 3D,Amazon Web Services (AWS);Cloudflare;Firebase,Opencv;OpenGL;Qt
"Developer, embedded applications or devices",United States of America,,18,,Bash/Shell (all shells);C;C++;MATLAB;Python;Rust;TypeScript,Ansible;APT;Composer;Docker;Google Test;Make;npm;Pacman;Pip;Yarn,Amazon Web Services (AWS),NumPy;Opencv;Pandas;Qt
"Engineer, site reliability",Sweden,,34,,Bash/Shell (all shells);Go;Java;JavaScript;Python;TypeScript,Docker;Kubernetes;Maven (build tool),Amazon Web Services (AWS);Google Cloud;Microsoft Azure,
"Developer, full-stack",Switzerland,,15,,Assembly;C;C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript;Visual Basic (.Net),Docker;Kubernetes;MSBuild;npm;NuGet;Terraform;Visual Studio Solution,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ
"Developer, back-end",France,,6,,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;R;Rust;SQL;TypeScript,Maven (build tool);npm;Vite;Webpack;Yarn,OVH,Flutter
Other (please specify):,Brazil,,15,,Bash/Shell (all shells);Java;Python;SQL,Docker;Kubernetes;Maven (build tool);npm;Pip,Amazon Web Services (AWS),Spring Framework
"Developer, full-stack",France,,6,,Bash/Shell (all shells);C#;C++;Java;JavaScript;PHP;Python;SQL;TypeScript,Docker;Gradle;Maven (build tool);npm,,.NET (5+) ;OpenGL;Qt
"Developer, back-end",Georgia,,5,,C#;C++;Go;Lua;Python,Docker;Make;Ninja;NuGet;Pacman,,.NET (5+) ;GTK
Engineering manager,Brazil,,30,,,Terraform,Microsoft Azure,.NET (5+) ;NumPy;Opencv;Pandas;Torch/PyTorch
Other (please specify):,Netherlands,,,,Objective-C;Swift,,,SwiftUI
"Developer, full-stack",France,,12,,JavaScript;Python;SQL;TypeScript,Docker;Vite,Amazon Web Services (AWS),Cordova;Ionic;RabbitMQ
"Developer, full-stack",Sweden,,3,,HTML/CSS;JavaScript;TypeScript,Docker;Gradle;npm;Vite;Yarn,Amazon Web Services (AWS);Heroku;Netlify;Vercel,Cordova;React Native
Educator,Austria,,24,,C;C#;Dart;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,APT;Docker;MSBuild;npm;NuGet;Pip;Visual Studio Solution,Hetzner;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",United States of America,,29,,HTML/CSS;JavaScript;Ruby;SQL,Docker;Make;npm;Terraform,Amazon Web Services (AWS);Heroku;Supabase,
"Developer, back-end",United States of America,,30,,Bash/Shell (all shells);Elixir;Go;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,APT;Docker;Gradle;Homebrew;Kubernetes;Make;npm;Yarn,Amazon Web Services (AWS),Apache Kafka;Spring Framework
"Developer, QA or test",United States of America,,6,,C;C#;Python,Make;Pip;Podman,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Torch/PyTorch
"Developer, back-end",Austria,,9,,C#;Go;JavaScript;PHP;SQL,,VMware,
,Turkey,,,,,,,
"Developer, front-end",United States of America,,21,,HTML/CSS;JavaScript;Lisp;Python;SQL,Docker;npm;Pip;Vite,Amazon Web Services (AWS);Fly.io;Heroku,Electron;Tauri
"Engineer, site reliability",United Kingdom of Great Britain and Northern Ireland,,7,,C#;C++;HTML/CSS;JavaScript;Python;VBA;Visual Basic (.Net),Make;MSBuild;Ninja,,.NET Framework (1.0 - 4.8);OpenGL
"Developer, back-end",Ukraine,,12,,Go;Rust;SQL;TypeScript,Ansible;Docker;npm;Webpack,Firebase;Google Cloud;Netlify;Render;Vercel;Vultr,
DevOps specialist,Germany,,5,,Groovy;Java;JavaScript;MATLAB;Python,Ansible;Docker;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform,Heroku;IBM Cloud Or Watson,Apache Kafka;NumPy;Quarkus;RabbitMQ;TensorFlow
"Developer, front-end",Lithuania,,10,,JavaScript;SQL;TypeScript,npm;Webpack;Yarn,,
"Developer, back-end",United States of America,,24,,C#;C++;Java;Lua;PowerShell;Python;SQL,Ansible;Docker;Kubernetes;Make;Terraform,Google Cloud;Microsoft Azure;VMware,.NET Framework (1.0 - 4.8)
"Developer, front-end",Russian Federation,,4,,JavaScript;Python;SQL;TypeScript,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Netlify;Vercel,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,10,,C#;JavaScript;PowerShell;SQL;TypeScript,npm;NuGet;Visual Studio Solution;Yarn,Microsoft Azure;Oracle Cloud Infrastructure (OCI),.NET (5+) ;.NET Framework (1.0 - 4.8);Ionic;RabbitMQ;Xamarin
