DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
DevOps specialist,120000000.0,Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;R;Ruby;SQL;Visual Basic (.Net),Dynamodb;Elasticsearch;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;Flask;jQuery;Laravel;Node.js;React;Ruby on Rails;Spring Boot;Symfony;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark,
"Developer, full-stack",8700000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;VBA,Cosmos DB;Microsoft SQL Server;SQLite,Microsoft Azure,AngularJS;ASP.NET CORE;jQuery;Laravel;Vue.js,Rasberry Pi,.NET (5+),Software Development
"Developer, back-end",57600000.0,C;Ruby,,,,,,Insurance
"Developer, back-end",7000000.0,C#;JavaScript,MongoDB;PostgreSQL;Redis,Google Cloud,,GNU GCC,.NET (5+),
"Developer, back-end",0.0,Bash/Shell (all shells);C++;Dart;Go;JavaScript;Lua;Python;Ruby;Rust;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;Supabase,Amazon Web Services (AWS);Firebase;Netlify,Express;Flask;Node.js;React,Cargo;GNU GCC,Flutter;NumPy;Pandas;Qt;TensorFlow,"Internet, Telecomm or Information Services"
"Developer, back-end",195000000.0,Bash/Shell (all shells);Ruby;SQL,BigQuery;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Vercel,Next.js;Node.js;Ruby on Rails,LLVM's Clang,,"Internet, Telecomm or Information Services"
Cloud infrastructure engineer,250000000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;SQL;TypeScript,Cosmos DB;Dynamodb,Amazon Web Services (AWS);Vercel,Next.js;Node.js;React,,,"Internet, Telecomm or Information Services"
"Developer, full-stack",342500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,React;Ruby on Rails,LLVM's Clang;Rasberry Pi,.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",342500000.0,Bash/Shell (all shells);C;C#;Python,InfluxDB,Amazon Web Services (AWS),,,.NET Framework (1.0 - 4.8);NumPy;Pandas,
"Developer, full-stack",16440000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL;PostgreSQL,Google Cloud;Managed Hosting,Angular;jQuery;NestJS;Node.js,,Ionic,
"Developer, front-end",97500000.0,JavaScript;TypeScript,,Digital Ocean;Google Cloud,Next.js;Node.js;React,,,
"Developer, full-stack",352090000.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,MariaDB;MySQL,Microsoft Azure,Express;Node.js;React,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,.NET (5+);Electron;Qt,"Internet, Telecomm or Information Services"
"Developer, full-stack",223310000.0,C#;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,Angular;Node.js;React,,.NET (5+),Healthcare
"Developer, front-end",96200000.0,HTML/CSS;JavaScript;SQL;TypeScript,MySQL,Amazon Web Services (AWS),Express;React,,,
"Developer, back-end",274000000.0,C;C++;Go;JavaScript;TypeScript,Dynamodb;MySQL;PostgreSQL,Amazon Web Services (AWS),,CMake;GNU GCC,,"Internet, Telecomm or Information Services"
"Developer, back-end",105000000.0,C++;Go;Python;Rust,,Google Cloud,,Cargo,,Software Development
"Developer, full-stack",12800000.0,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Microsoft Azure;Netlify;OVH;Vercel,Angular;AngularJS;Django;Express;Flask;Gatsby;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;WordPress,Cargo,Apache Kafka;Electron;Keras;NumPy;Pandas;React Native;Scikit-Learn;Spring Framework,Media & Advertising Services
"Developer, back-end",76500000.0,C#;Groovy;HTML/CSS;PowerShell,Microsoft SQL Server,,ASP.NET,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",74800000.0,C#;C++;JavaScript;Python;Rust;TypeScript,PostgreSQL;SQLite,Amazon Web Services (AWS),ASP.NET CORE;Flask;Node.js,Cargo;Rasberry Pi,.NET (5+);TensorFlow,
"Developer, full-stack",39000000.0,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Angular;jQuery;Symfony;WordPress,,,Software Development
"Developer, mobile",143850000.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Cloud Firestore;PostgreSQL;SQLite,Firebase;Google Cloud;Netlify,Flask;Node.js;React,CMake,CUDA;NumPy;Pandas;TensorFlow;Torch/PyTorch,Retail and Consumer Services
"Developer, full-stack",71280000.0,Java;JavaScript;Kotlin;TypeScript,Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;PostgreSQL;Snowflake,Amazon Web Services (AWS),Angular;Node.js;React;Spring Boot,,Apache Kafka;Apache Spark;Spring Framework,
"Developer, full-stack",60000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,,,Angular;jQuery;Node.js;React,,,Banking/Financial Services
"Developer, full-stack",65760000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Netlify,Express;Flask;Node.js;React,,NumPy;Pandas,
"Developer, full-stack",95900000.0,PHP;PowerShell;SQL,Microsoft SQL Server;MySQL,,Drupal,,,Higher Education
Academic researcher,75000000.0,Assembly;Bash/Shell (all shells);C;C++;R;SQL,MariaDB,Google Cloud;Microsoft Azure,,Arduino;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,OpenGL,
"Developer, back-end",127500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Elasticsearch;SQLite,Amazon Web Services (AWS),Django;FastAPI;Next.js;React;Vue.js,Cargo;Rasberry Pi,Apache Kafka,
Data scientist or machine learning specialist,168000000.0,HTML/CSS;JavaScript;Python,MongoDB;Redis,Amazon Web Services (AWS),FastAPI;Next.js;React,,CUDA;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Software Development
Cloud infrastructure engineer,550740000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Perl;Python;SQL,BigQuery;Dynamodb;Elasticsearch;InfluxDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,CUDA;RabbitMQ;Torch/PyTorch,
"Developer, full-stack",191520000.0,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Lua;SQL;TypeScript,Microsoft SQL Server;SQLite,"Cloudflare;Hetzner;Linode, now Akamai",Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js,LLVM's Clang,.NET (5+);.NET MAUI,
Academic researcher,44859280.0,Assembly;C;C++;HTML/CSS;JavaScript;Python;R;TypeScript,,,,CMake;GNU GCC;LLVM's Clang,NumPy;OpenGL,
"Developer, full-stack",112500000.0,HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Hetzner;Netlify,Angular;Django;Spring Boot,Cargo,,Fintech
"Developer, back-end",239750000.0,C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,BigQuery;Firebase Realtime Database;PostgreSQL,Google Cloud,Angular;Next.js;Node.js;React,,React Native,Software Development
"Developer, back-end",91460000.0,Bash/Shell (all shells);Python,Oracle,,,Rasberry Pi,,Banking/Financial Services
"Developer, embedded applications or devices",164400000.0,Bash/Shell (all shells);C;C++;Python,PostgreSQL,,React,Arduino;CMake;GNU GCC;Rasberry Pi,NumPy;Opencv;Pandas;Qt;TensorFlow;Torch/PyTorch,
DevOps specialist,153000000.0,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python,BigQuery;SQLite,Google Cloud,ASP.NET;ASP.NET CORE;jQuery;Node.js;Vue.js,CMake,.NET (5+),
"Developer, game or graphics",109600000.0,C#;Java,,,,,.NET (5+),
Blockchain,164400000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,Dynamodb;MongoDB,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;Fastify;Node.js;React,,.NET (5+),Software Development
"Developer, full-stack",44200000.0,Bash/Shell (all shells);PowerShell;Python;SQL,Cloud Firestore;MySQL;SQLite,Firebase,,,Pandas;Qt,Fintech
"Developer, front-end",236250.0,JavaScript,Dynamodb;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS),Next.js;Node.js;React,,,Software Development
"Developer, full-stack",180000000.0,Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift,BigQuery;MariaDB;MongoDB;SQLite,Firebase;Google Cloud,Express;jQuery;Node.js;React,,.NET (5+);Flutter,Software Development
"Developer, full-stack",118500000.0,Bash/Shell (all shells);Java;SQL,IBM DB2;PostgreSQL,Microsoft Azure,,,,Banking/Financial Services
"Developer, full-stack",120000000.0,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;Redis,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",128000000.0,C#;C++;JavaScript;PowerShell;Python;TypeScript,MongoDB;PostgreSQL;Redis,Fly.io;Google Cloud,Angular;ASP.NET CORE;Flask;Vue.js,,.NET (5+),
"Developer, front-end",91200000.0,C#;JavaScript;TypeScript,Cassandra;MongoDB;PostgreSQL,Microsoft Azure,Express;Node.js;React,,Electron,
"Developer, back-end",223310000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Elasticsearch;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Microsoft Azure,Deno;Fastify;Node.js,,Apache Kafka;Apache Spark;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,"Internet, Telecomm or Information Services"
"Developer, AI",90000000.0,Python,,Microsoft Azure,,,Apache Spark;NumPy;Pandas;Scikit-Learn,Banking/Financial Services
Engineering manager,120000000.0,PHP,MariaDB;MySQL,,Symfony,,,
"Developer, full-stack",112200000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),ASP.NET;Express;Laravel;Node.js;React;Symfony,,.NET Framework (1.0 - 4.8);Ionic,Software Development
"Developer, embedded applications or devices",117000000.0,Bash/Shell (all shells);C++;Python,,Microsoft Azure;VMware,,CMake;GNU GCC;Rasberry Pi,Qt,
"Developer, back-end",98640000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Linode, now Akamai;Microsoft Azure;Netlify",Django;FastAPI;jQuery;NestJS;Next.js;Node.js;React;Ruby on Rails;Vue.js,,Hugging Face Transformers;Opencv,"Transportation, or Supply Chain"
"Developer, full-stack",46750000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB,,Angular;AngularJS;Django,,,
"Developer, embedded applications or devices",205500000.0,C;C++;Python,,,,CMake;GNU GCC;Rasberry Pi,Qt,"Transportation, or Supply Chain"
"Developer, full-stack",170000000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,,Microsoft Azure,ASP.NET CORE;Node.js,,.NET (5+),Software Development
"Developer, full-stack",225000000.0,Bash/Shell (all shells);Java,Elasticsearch,Microsoft Azure,Spring Boot,,Spring Framework,
"Developer, back-end",21372000.0,Go;HTML/CSS;JavaScript;Python,MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase,Django;FastAPI;React,,NumPy;Pandas;Scikit-Learn,
"Developer, game or graphics",64500000.0,C#;HTML/CSS;Python,,Google Cloud,Node.js,,.NET (5+),Healthcare
"Developer, full-stack",85000000.0,Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Microsoft SQL Server,,Express;jQuery;Laravel;Node.js;React,,,
"Developer, back-end",98600000.0,Bash/Shell (all shells);Go;Java;PowerShell;SQL,H2;Oracle,Google Cloud;OpenShift,Spring Boot,,,
"Developer, full-stack",107100000.0,TypeScript,,,jQuery;Vue.js,,,Software Development
"Developer, full-stack",274000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Node.js;React;Spring Boot,GNU GCC,Apache Spark;Spring Framework,
"Developer, full-stack",45000000.0,C#;Go;HTML/CSS;JavaScript;Lua;PHP;Python;TypeScript,MariaDB;PostgreSQL;SQLite,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Linode, now Akamai;Microsoft Azure",Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;WordPress,Arduino;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);Electron;Flutter;Opencv;OpenGL;Xamarin,
"Developer, full-stack",150700000.0,HTML/CSS;Python;TypeScript,,Amazon Web Services (AWS);Cloudflare,React;Vue.js,,Apache Kafka;Electron,Government
"Developer, embedded applications or devices",104000000.0,Bash/Shell (all shells);C;C++,Redis,,,CMake;GNU GCC;LLVM's Clang,,
Data scientist or machine learning specialist,99462000.0,R,MySQL,,,,,
Engineering manager,225000000.0,Bash/Shell (all shells);Go;Python;SQL,InfluxDB;MongoDB;PostgreSQL;Redis,Digital Ocean,FastAPI;Flask,,,Software Development
"Developer, full-stack",198650000.0,C#;HTML/CSS;JavaScript;Kotlin;Objective-C;Swift;TypeScript,Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Vercel,Deno;Express;Flask;NestJS;Next.js;Node.js;Nuxt.js;React;Ruby on Rails;Vue.js;WordPress,,.NET (5+);React Native;SwiftUI,
"Developer, full-stack",56000000.0,HTML/CSS;Java;JavaScript;Ruby;SQL,MySQL;Redis,Amazon Web Services (AWS);Cloudflare,jQuery;Next.js;React;Ruby on Rails,,Pandas,
Engineering manager,267150000.0,Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Express;Node.js;React,Cargo,Opencv,
"Developer, full-stack",51000000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;SQL,MariaDB;MongoDB;MySQL;SQLite,,React,Arduino;CMake;GNU GCC;Rasberry Pi,,Software Development
Data scientist or machine learning specialist,105000000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Scala;SQL,BigQuery;Cosmos DB;Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;Flask;Node.js,Arduino,Apache Kafka;Apache Spark;Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Fintech
"Developer, back-end",18000000.0,C#;JavaScript;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery;Vue.js,,.NET (5+),Software Development
"Developer, front-end",32880000.0,HTML/CSS;JavaScript;TypeScript,MongoDB,,jQuery;Next.js;React;WordPress,,,Software Development
"Developer, full-stack",134260000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,Cosmos DB;MariaDB;PostgreSQL;Redis,Microsoft Azure,React;Vue.js,Cargo;GNU GCC;LLVM's Clang,.NET (5+);CUDA,Software Development
"Developer, full-stack",75000000.0,Java,MariaDB,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),,,Flutter,Software Development
"Developer, front-end",239750000.0,JavaScript;Rust;TypeScript,,Microsoft Azure,Node.js;React,,React Native,Software Development
"Developer, full-stack",170000000.0,C#;HTML/CSS;SQL,Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),Fintech
"Developer, full-stack",102000000.0,C;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Cosmos DB;Microsoft SQL Server;MySQL;PostgreSQL;Supabase,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;Vue.js;WordPress,Arduino,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI,
Cloud infrastructure engineer,289070000.0,C;Go;JavaScript;Ruby,Elasticsearch;InfluxDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,React;Ruby on Rails,,,
"Developer, back-end",21600000.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,Microsoft Azure,Angular;React;Spring Boot,,Spring Framework,Software Development
"Developer, back-end",450000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;TypeScript,Dynamodb;Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Node.js;React,,Apache Spark,Software Development
Engineering manager,353042150.0,C#;C++;Python,,,,,,Software Development
"Developer, embedded applications or devices",100500000.0,C;C++;Java;JavaScript;PHP;PowerShell;Python;SQL,Microsoft SQL Server;PostgreSQL,,Svelte,Arduino;GNU GCC;LLVM's Clang;Rasberry Pi,Apache Kafka;NumPy;Pandas,Computer Systems Design and Services
"Developer, full-stack",76500000.0,Bash/Shell (all shells);Java;SQL,Cosmos DB;MariaDB;MySQL,Hetzner;Microsoft Azure,Spring Boot,,RabbitMQ;Spring Framework,Software Development
"Developer, full-stack",141360000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL,Amazon Web Services (AWS),Django;Express;NestJS;Next.js;Node.js;React;Vue.js,,,"Internet, Telecomm or Information Services"
"Developer, back-end",334500000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,BigQuery;PostgreSQL;SQLite,,,,Electron,Software Development
"Developer, back-end",84000000.0,C#;Rust,MongoDB,,,,.NET Framework (1.0 - 4.8),
"Developer, full-stack",232900000.0,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Microsoft Azure,Angular;ASP.NET CORE;Spring Boot,Arduino;LLVM's Clang;Rasberry Pi,,Manufacturing
"Developer, full-stack",120000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;TypeScript,Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Vercel,Next.js;Node.js;Svelte;Vue.js,Arduino;Rasberry Pi,,
"Developer, front-end",585000.0,HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;Microsoft SQL Server,Microsoft Azure,Express;Fastify;jQuery;Node.js;Nuxt.js;Vue.js,,,Media & Advertising Services
"Developer, full-stack",260300000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Redis;Supabase,Amazon Web Services (AWS),Node.js;React,,React Native,Energy
"Developer, game or graphics",54600000.0,Assembly;C;C++;Python,,,,,CUDA;Hugging Face Transformers;NumPy;Pandas;Torch/PyTorch,
"Developer, back-end",117000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MySQL,Amazon Web Services (AWS);OVH,Express;jQuery;Node.js;Symfony,,,Software Development
"Developer, full-stack",54000000.0,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL,,Angular;AngularJS;NestJS,,,
Security professional,164400000.0,Bash/Shell (all shells);C;Python,Microsoft SQL Server;MySQL;PostgreSQL,,,,,
"Developer, mobile",149600000.0,Kotlin,SQLite,,,,,Fintech
"Developer, full-stack",50108220.0,HTML/CSS;JavaScript;SQL;TypeScript,BigQuery;MySQL,Amazon Web Services (AWS);Google Cloud,Express;NestJS;Next.js;React,,,Banking/Financial Services
"Developer, embedded applications or devices",219200000.0,C;C#;Dart;JavaScript;PowerShell;Python;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;SQLite,Firebase;Google Cloud,Angular;NestJS;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8);Flutter,
"Developer, back-end",13700000.0,Bash/Shell (all shells);C;C#;JavaScript;Ruby,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Heroku,ASP.NET;ASP.NET CORE;Node.js;Ruby on Rails,,RabbitMQ,Software Development
"Developer, full-stack",2055000.0,JavaScript;SQL;TypeScript,Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase,Express;NestJS;Next.js;Node.js;React;Vue.js,,,Software Development
"Developer, embedded applications or devices",104000000.0,Bash/Shell (all shells);C;C++,Redis,,,CMake;GNU GCC;LLVM's Clang,,
"Developer, full-stack",2660000.0,HTML/CSS;JavaScript;PHP;Swift;TypeScript,MariaDB;MongoDB;MySQL,Google Cloud;Heroku;Netlify;VMware,Next.js;Node.js;React,,,Software Development
"Developer, full-stack",67200000.0,C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL;Redis;SQLite,Cloudflare;Google Cloud;Hetzner,Deno;React;Vue.js,CMake;Cargo;LLVM's Clang,Apache Kafka,Fintech
"Developer, full-stack",27000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;MySQL,Cloudflare;Netlify;Vercel,Next.js;Node.js;React;WordPress,Rasberry Pi,,Software Development
"Developer, full-stack",238380000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;MongoDB;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,
"Developer, embedded applications or devices",685000000.0,C++;Python,,,,Arduino;CMake;GNU GCC;LLVM's Clang;Rasberry Pi,NumPy,
"Developer, front-end",37500000.0,HTML/CSS;JavaScript;PHP,,,jQuery;Symfony;WordPress,,,Software Development
"Developer, full-stack",375000000.0,C;C#;HTML/CSS;Java;Python;Rust,PostgreSQL;SQLite,Amazon Web Services (AWS),Django;Spring Boot;Svelte,CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,.NET (5+);Apache Kafka;Electron;Spring Framework,
"Developer, back-end",342500.0,Java;Python,PostgreSQL,Amazon Web Services (AWS),Django,,Pandas;RabbitMQ,Fintech
"Developer, full-stack",163030000.0,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Ruby;SQL;TypeScript,MariaDB;MySQL;SQLite,Microsoft Azure,Angular;Node.js;React;Ruby on Rails;Spring Boot;Svelte,CMake,Electron;Spring Framework,
Data scientist or machine learning specialist,258400000.0,Bash/Shell (all shells);Python;SQL,MongoDB;Redis;Snowflake,Amazon Web Services (AWS),,,Apache Spark;Hugging Face Transformers;Pandas,Fintech
