DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
"Developer, full-stack",246600000.0,Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;Ruby;SQL;TypeScript,C#;Go;JavaScript;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Vercel,Amazon Web Services (AWS),Express;Next.js;Node.js;React,Express;Node.js;React,,,.NET Framework (1.0 - 4.8),.NET (5+);RabbitMQ;React Native,Chocolatey;Docker;Kubernetes;npm;Terraform;Vite;Webpack;Yarn,Docker;Kubernetes;npm;Vite;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,9.0
"Developer, back-end",205500000.0,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;SQL;TypeScript,Elasticsearch;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),,Svelte,GNU GCC;Rasberry Pi,GNU GCC;Rasberry Pi,,,Docker;Homebrew;Make;Maven (build tool);npm,Docker;Homebrew;Make;Maven (build tool),None of these,Cloud only (single or multi-cloud),Slack search,Software Development,8.0
"Developer, back-end",139400000.0,C#;HTML/CSS;JavaScript;Python;TypeScript,C#,Microsoft SQL Server;MongoDB,Microsoft SQL Server,Google Cloud;Microsoft Azure,Microsoft Azure,ASP.NET CORE;React;Vue.js,Blazor,,,.NET (5+);.NET Framework (1.0 - 4.8);TensorFlow,.NET (5+),Docker;Kubernetes;Make;MSBuild;npm;NuGet;Pip;Terraform;Visual Studio Solution;Vite,NuGet,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Healthcare,8.0
Data scientist or machine learning specialist,137000000.0,SQL,,PostgreSQL;SQLite,,Amazon Web Services (AWS);Digital Ocean;Google Cloud,,,,,,NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,,Homebrew,,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,8.0
"Developer, full-stack",66000000.0,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,MySQL;Redis,MySQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,,jQuery;Node.js;React;WordPress,Node.js;React,GNU GCC,,,,Ansible;Composer;Gradle;Make;npm;Pip;Webpack;Yarn,Ansible;npm;Pip;Webpack;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",2.0
"Developer, back-end",205500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);JavaScript;Kotlin;Python;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,MariaDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud,Node.js;Spring Boot,Spring Boot,,,Spring Framework,Apache Kafka;Spring Framework;TensorFlow,Ansible;Docker;Kubernetes;Maven (build tool),Ansible;Docker;Gradle;Kubernetes;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Slack search,"Internet, Telecomm or Information Services",9.0
"Developer, full-stack",135000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell (all shells);C;C++;Python,MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,,Django;FastAPI;Flask;React;Vue.js,Django;React,Arduino;CMake;GNU GCC;Rasberry Pi,Arduino;CMake;GNU GCC;Rasberry Pi,RabbitMQ;Torch/PyTorch,RabbitMQ,Ansible;APT;Docker;Kubernetes;Make;npm;Podman;Terraform,APT;Godot;Make;Podman;Terraform,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),,,2.0
"Developer, full-stack",205500000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE,Angular;ASP.NET;ASP.NET CORE;Blazor,,,.NET (5+),.NET (5+),Visual Studio Solution,Visual Studio Solution,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Insurance,6.0
"Developer, back-end",591840000.0,C#;JavaScript;Python;Ruby;SQL;TypeScript,Go;Kotlin;Python;Rust;SQL;TypeScript,Elasticsearch;MySQL;Redis,MySQL;Redis;SQLite,Google Cloud,Cloudflare;Google Cloud,React,Htmx,,,,,APT;Docker;Kubernetes;Pip;Webpack;Yarn,Docker;Kubernetes;Podman;Webpack;Yarn,Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)","Internet, Telecomm or Information Services",8.0
"Developer, front-end",2467500.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MariaDB,MariaDB,Digital Ocean,,Node.js;Vue.js,Node.js;Svelte;Vue.js,,,,,Docker;Vite,Docker;Vite,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Retail and Consumer Services,5.0
"Developer, back-end",40500000.0,C++;Java;PHP,C++;Java;PHP,Microsoft SQL Server;MySQL;Oracle,Microsoft SQL Server;MySQL,,,,,,,Spring Framework,Spring Framework,Maven (build tool),Maven (build tool),Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,6.0
"Developer, back-end",253450000.0,Go;Python;Ruby;Rust;SQL,C#;Go;PowerShell;Python;SQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,FastAPI;Flask,FastAPI;Flask,Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Arduino;GNU GCC;LLVM's Clang;Rasberry Pi,NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Apache Kafka;CUDA;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform,Ansible;Docker;Homebrew;Make;Pip;Podman,DevOps function;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Retail and Consumer Services,5.0
Engineering manager,127500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,MariaDB;MongoDB;MySQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;Vercel,Next.js;Node.js;Vue.js,FastAPI;Next.js;Node.js;Vue.js,,,RabbitMQ,RabbitMQ,Docker;Kubernetes;Make;npm;Pip;Vite;Yarn,Docker;Kubernetes;npm;Pip;Vite,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Insurance,6.0
"Developer, full-stack",8000000.0,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Microsoft SQL Server;MongoDB;MySQL,Microsoft SQL Server;MongoDB;MySQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Netlify,Amazon Web Services (AWS);Firebase,jQuery;Node.js;React;WordPress,Angular;jQuery;NestJS;Next.js;Node.js;React,Arduino,Arduino,.NET (5+);.NET Framework (1.0 - 4.8);Pandas;TensorFlow,Flutter;Pandas;TensorFlow,npm,Docker;npm,Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Retail and Consumer Services,4.0
"Developer, back-end",113900000.0,C#;PowerShell,C#;PowerShell,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE,ASP.NET CORE,,,.NET (5+),.NET (5+),Docker;Kubernetes;NuGet,Docker;Kubernetes;NuGet,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Media & Advertising Services,4.0
"Developer, back-end",164400000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL,Bash/Shell (all shells);C++;Go;JavaScript;Rust;SQL,PostgreSQL,Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Digital Ocean,React,React,,,,,APT,APT,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,"Internet, Telecomm or Information Services",9.0
"Developer, front-end",131250000.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,,,Angular;Express;Node.js,Angular;Express;Node.js,,,,,npm,npm,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,6.0
"Developer, full-stack",137000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elixir;HTML/CSS;JavaScript;SQL,PostgreSQL,MongoDB;PostgreSQL;Redis,,,Vue.js,Vue.js,,,,,Docker;Homebrew;Kubernetes;Yarn,Docker;Homebrew;Kubernetes;Yarn,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (free),Fintech,7.0
"Developer, full-stack",172500000.0,HTML/CSS;Java;JavaScript;TypeScript,C#;Java;TypeScript,MongoDB;PostgreSQL,MongoDB,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,Angular,Angular,,,Apache Kafka,.NET (5+);Apache Kafka,APT;Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Terraform,Homebrew;Kubernetes;npm;Podman;Terraform,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Banking/Financial Services,9.0
"Developer, back-end",61500000.0,Bash/Shell (all shells);C++;Python;Rust,Python;Rust,,,,,,,CMake;Cargo,Cargo,NumPy;Pandas;Torch/PyTorch,NumPy,Docker,Podman,None of these,,Traditional public search engine,,9.0
"Developer, full-stack",225000000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,Microsoft SQL Server,MongoDB;Redis,Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET CORE,ASP.NET CORE;Blazor,,,.NET (5+),,Docker;MSBuild;NuGet;Visual Studio Solution,Docker;MSBuild;NuGet;Visual Studio Solution,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Computer Systems Design and Services,10.0
"Developer, full-stack",124500000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Angular;AngularJS;ASP.NET CORE;Node.js,Angular;ASP.NET CORE;Node.js,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;npm;NuGet;Visual Studio Solution,Godot;MSBuild;npm;NuGet;Visual Studio Solution,DevOps function;Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,,6.0
"Developer, full-stack",126000000.0,C#;Java;JavaScript;Python;SQL;TypeScript,C#;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE;React,ASP.NET CORE;React,,,.NET (5+),.NET (5+),Docker;MSBuild;NuGet;Vite,Docker;Kubernetes;MSBuild;NuGet;Vite,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,5.0
"Developer, full-stack",260300000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;PHP;Rust;SQL,Dynamodb;Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),,Laravel;React;Vue.js,Laravel;Vue.js,,,.NET (5+);React Native,.NET (5+);Flutter,Composer;Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;pnpm;Terraform;Vite;Yarn,Composer;Docker;Homebrew;Kubernetes;Vite;Yarn,Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Transportation, or Supply Chain",0.0
"Developer, full-stack",75000000.0,C#;HTML/CSS;SQL,C#;HTML/CSS;SQL,Microsoft SQL Server;SQLite,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE,ASP.NET CORE;Blazor,,,.NET (5+),.NET (5+),MSBuild;NuGet;Visual Studio Solution,MSBuild;NuGet;Visual Studio Solution,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, back-end",75000000.0,C#,C#,,,Microsoft Azure,Microsoft Azure,,,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),NuGet;Visual Studio Solution,NuGet;Visual Studio Solution,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Healthcare,8.0
"Developer, full-stack",225000000.0,HTML/CSS;JavaScript;PHP;SQL,Go;HTML/CSS;Java;JavaScript;PHP;SQL;Swift,MariaDB;MongoDB;MySQL;Redis,MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure,jQuery;Laravel;NestJS;Node.js;React;Vue.js,Htmx;jQuery;Laravel;Node.js,,,RabbitMQ,RabbitMQ;TensorFlow;Torch/PyTorch,Docker;Homebrew;npm,Docker;Homebrew,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,10.0
"Developer, full-stack",45000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,PostgreSQL,MariaDB;PostgreSQL;SQLite,,,Angular;Django;FastAPI;Flask;Spring Boot,Django;FastAPI;Flask;React,,,,,Gradle;npm;Pip;pnpm,Godot;Make;npm;Pip,AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Healthcare,2.0
Engineering manager,64000000.0,JavaScript;PHP;Python;SQL;TypeScript,Go;JavaScript;Python;Rust;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Vercel,Digital Ocean;Vercel,Express;Laravel;NestJS;Next.js;Node.js;React;Vue.js;WordPress,Django;NestJS;Next.js;Node.js;React,,,RabbitMQ,RabbitMQ;React Native,Docker;Homebrew;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,Bun;Docker;Homebrew;pnpm;Vite,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,10.0
"Developer, full-stack",161660000.0,Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL,Go;HTML/CSS;Python;SQL;Swift,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,PostgreSQL,Digital Ocean,Digital Ocean,Flask;Node.js;Vue.js;WordPress,Flask;Vue.js,Cargo,,,,Chocolatey;Docker;npm;Webpack,Docker,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,7.0
"Developer, full-stack",119532500.0,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript,,MongoDB,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;NestJS,Angular;ASP.NET;ASP.NET CORE;NestJS,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;NuGet;Visual Studio Solution,MSBuild;NuGet;pnpm;Visual Studio Solution,DevOps function;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,9.0
"Developer, full-stack",78000000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Rust;TypeScript,Bash/Shell (all shells);HTML/CSS;Kotlin;Rust,MariaDB;PostgreSQL;Redis,PostgreSQL,Microsoft Azure,,Angular;Node.js;Spring Boot,Angular;Spring Boot,Arduino;Cargo;Rasberry Pi,Cargo;Rasberry Pi,.NET (5+),,APT;Gradle;Maven (build tool);MSBuild;npm;NuGet;Yarn,APT;Gradle;Kubernetes;Yarn,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,5.0
"Developer, full-stack",60000000.0,JavaScript;Python;TypeScript,JavaScript;Python;TypeScript,MariaDB;Microsoft SQL Server;MySQL;SQLite,MariaDB;MySQL,,,Django;Express;jQuery;NestJS;Next.js,Django;Express;NestJS;Next.js,,,,,npm;Webpack,npm;Webpack,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Computer Systems Design and Services,8.0
"Developer, full-stack",127500000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,C#;Elixir;Go;HTML/CSS;Kotlin;Python;Rust;SQL;TypeScript,Microsoft SQL Server;Oracle,PostgreSQL;Redis,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE,ASP.NET CORE;Blazor;Django,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;Kubernetes;MSBuild;npm;NuGet;pnpm;Terraform;Visual Studio Solution,Docker;NuGet;pnpm;Podman;Visual Studio Solution,Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
